Company Name,Industry,Symbol,Category
PCBL Ltd.,Chemicals,PCBL,Smallcap
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,Smallcap
PNC Infratech Ltd.,Construction,PNCINFRA,Smallcap
PTC Industries Ltd.,Capital Goods,PTCIL,Smallcap
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,Smallcap
Pfizer Ltd.,Healthcare,PFIZER,Smallcap
Piramal Enterprises Ltd.,Financial Services,PEL,Smallcap
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,Smallcap
Poly Medicure Ltd.,Healthcare,POLYMED,Smallcap
Praj Industries Ltd.,Capital Goods,PRAJIND,Smallcap
Quess Corp Ltd.,Services,QUESS,Smallcap
R R Kabel Ltd.,Capital Goods,RRKABEL,Smallcap
RBL Bank Ltd.,Financial Services,RBLBANK,Smallcap
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,Smallcap
RITES Ltd.,Construction,RITES,Smallcap
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,Smallcap
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,Smallcap
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,Smallcap
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,Smallcap
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,Smallcap
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF,Smallcap
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI,Smallcap
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,Smallcap
Raymond Ltd.,Realty,RAYMOND,Smallcap
Redington Ltd.,Services,REDINGTON,Smallcap
Route Mobile Ltd.,Telecommunication,ROUTE,Smallcap
SBFC Finance Ltd.,Financial Services,SBFC,Smallcap
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,Smallcap
Sanofi India Ltd.,Healthcare,SANOFI,Smallcap
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,Smallcap
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,Smallcap
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,Smallcap
Shipping Corporation of India Ltd.,Services,SCI,Smallcap
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA,Smallcap
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,Smallcap
Signatureglobal (India) Ltd.,Realty,SIGNATURE,Smallcap
Sobha Ltd.,Realty,SOBHA,Smallcap
Sonata Software Ltd.,Information Technology,SONATSOFTW,Smallcap
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,Smallcap
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,Smallcap
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC,Smallcap
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR,Smallcap
Swan Energy Ltd.,Diversified,SWANENERGY,Smallcap
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,Smallcap
TBO Tek Ltd.,Consumer Services,TBOTEK,Smallcap
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,Smallcap
Tanla Platforms Ltd.,Information Technology,TANLA,Smallcap
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,Smallcap
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,Smallcap
Tejas Networks Ltd.,Telecommunication,TEJASNET,Smallcap
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,Smallcap
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,Smallcap
